predicted,actual
28.35465958641191,50
20.62377334036006,44
40.379412257021386,42
46.12792046707965,59
41.99698997533615,47
34.07154998494301,50
45.30776327575587,53
35.20782887907521,10
32.08799711737803,61
21.92466982756118,0
35.46748513783425,0
30.94104784986601,13
49.6307681501054,15
20.386954993518835,0
55.96830444720638,2
49.98458883792179,33
44.40449510853678,67
41.41233419483913,57
43.5795397888989,0
36.56543862892875,0
49.7276006204773,0
33.956232214390226,21
39.01827571460073,48
39.64537788969094,0
30.469309201789244,50
34.77676445818866,26
41.19714609239538,0
39.58222468453173,0
52.17186402905246,0
52.930312890917264,79
27.849576067573114,25
36.820425138575615,0
42.337149585073085,74
48.0916672848999,66
36.133532863734,29
39.73662947788247,76
37.65713576426047,75
42.40279537948221,33
33.678364626252105,65
44.024785919658086,56
45.18949597357998,0
18.67565321141244,0
51.969901848292224,31
51.43219361977214,27
18.963049744696715,0
31.11549964335267,0
36.08039815410245,0
29.332184857315223,52
46.734592676404624,0
36.12715979711814,52
49.84188250993852,0
49.51405838268277,0
28.335868160106653,40
40.99271975538289,64
31.766910863924807,0
42.37033569105698,56
19.065294808270107,57
54.60791786682742,11
39.55770192764356,0
30.244281216628583,0
29.34003472426371,0
44.07121930784492,74
28.580058317209193,30
30.741047415561557,2
46.86667642051619,74
40.76151568426953,69
49.86488944631748,61
45.55350249041334,76
39.10035692719108,39
37.076203099286225,17
51.718167493587586,77
32.899998459756496,33
30.304115873044204,0
31.44655857334687,41
40.90879631147456,69
42.39220591374232,25
23.523813046225946,62
47.31415133482094,0
29.193439489393633,42
41.89977545304508,42
29.95371702029168,51
50.06863909671443,58
40.87950656871793,27
22.462657629305927,62
51.89870472525469,33
44.51095526756528,0
22.34425022813976,4
28.345171768383935,0
33.30512808430854,33
46.4421419539487,54
36.82438663621657,47
47.60165895940304,51
30.255757635079323,29
19.67811497649484,0
39.88797302633861,44
33.44839012280959,50
17.49921993561203,18
28.06937989178778,54
30.612182144563025,46
26.640047100275368,55
42.536997212649965,45
37.60967380818924,72
44.13994653642721,0
35.85288627696043,53
52.96120423502819,63
51.14167433883895,55
40.64378380706431,63
38.278313811770865,52
43.30924654818889,5
19.939867542152548,0
38.86315637050079,67
42.908920377681326,69
39.672927012436915,75
53.90497974393648,65
31.097319734118663,24
51.899644203335285,52
46.00544769890295,72
36.08907809551045,0
22.248917727591344,1
37.5534385132438,0
49.554499603633374,81
33.51002633755634,0
42.98143663241197,59
39.98314118837235,63
50.61242911903193,73
34.97455452255943,43
26.574074296330185,0
35.88607018582345,51
49.929387062813184,0
36.726651393867236,56
37.06005884831758,71
25.575307601073554,62
35.330022365371036,75
23.590291123911044,0
37.63873250984767,40
41.34401307197602,46
27.57715488008307,66
38.71468277416677,13
40.4210186019307,39
47.6478973527763,64
47.36466352798232,64
54.38120857366543,71
45.14427983018091,0
42.118712549142046,5
50.7011867179594,38
34.33327287487649,35
36.676448590377,35
28.975814267812915,68
33.56664192445442,42
51.57246222812104,45
45.281910064611054,48
38.500758598006605,67
35.46413098279987,21
45.35014436038945,58
49.562067022000626,83
45.491178197090804,0
36.001815376063526,1
44.971565995963154,60
43.45572576863651,0
41.70823101265329,51
37.97499225963636,59
32.676801212499456,2
42.2743240690182,75
46.698742576876626,0
43.01907424404602,53
30.63079716799566,27
57.41709494421363,69
38.70233871146469,0
27.12646607279136,3
31.490113353701936,0
39.44910720437583,75
21.84540964251093,0
37.00595865418025,59
37.58311363095076,8
46.19090473562297,0
29.825787902315415,0
35.3222676466472,63
46.404725130909135,0
43.604856156688314,59
28.156237331065476,0
29.212448990403367,0
37.72835136353258,0
50.53207214193399,30
32.1449139362772,9
28.878031168332598,30
37.668457507732136,5
41.16139527814258,0
36.81542752810569,61
53.35698389511579,80
34.140594652221175,59
40.10352845112806,67
21.269363581089266,66
47.83480112236204,73
43.15157877146497,57
38.65580709336196,29
18.46799129426751,0
42.68907639857662,54
29.50700632594297,0
50.361400778094165,12
45.632346229019966,0
50.6509685164703,61
34.90437225549127,67
44.069471776957116,66
33.633223433136024,57
48.31688462427897,0
28.27966062474516,14
38.308187866453665,42
30.40290506069838,54
31.294106151642247,63
34.68538352861364,0
30.233955714725067,75
37.08869169406109,0
36.28663587791425,73
46.06516754735893,64
54.89990763608927,55
43.679257099666145,69
49.79866796089723,0
42.47425368159661,55
41.805298274128226,59
26.64842518478278,1
44.968441730938736,67
29.41325499286181,0
27.50570825345212,40
46.4479909049815,0
34.95108556696151,61
32.51501272330908,0
54.828025971627156,74
26.729712626182057,37
20.407354564953767,68
30.50573275238482,0
38.97482185736148,72
45.165784338421176,0
44.67436096694479,48
30.571296694715546,0
25.02530068492957,3
30.95242241635036,51
24.32368883476222,0
36.79572700109101,54
30.155083127953418,0
33.86267096888221,0
23.918803255623736,0
19.844865533221597,0
30.169448591800823,27
44.70742475654232,0
40.10723772767836,54
36.3883348710979,40
36.38451403833441,41
33.547896707247986,0
39.960425015292905,56
34.1538467346797,0
31.619533228942455,46
38.652741916780535,2
38.60326081011946,0
57.71764226026414,51
34.830042684449516,0
43.54707769054001,37
55.620702242681446,0
27.260909605709017,54
34.37738082444872,6
31.0084339273023,0
18.864522028519467,1
30.705372054075287,33
41.536209482091266,50
54.74092138452416,7
39.71519651769982,35
32.6614914754521,50
39.012060152223874,31
20.823298062528323,43
41.61471339784515,71
30.62134710462254,25
19.593445945933098,0
37.97021742391679,63
41.437604283468666,51
44.77683542699951,0
47.87105930015972,0
37.978777590503256,72
48.223093108648044,0
41.08680323282563,62
43.07600686029966,82
41.61385259828021,77
38.219857953564976,0
20.967607569562993,0
42.28079962912134,62
35.20800571766906,0
43.406249324022674,69
39.85594219800588,5
20.499744359635926,7
42.35626173442128,14
52.37496760331166,74
20.346830299507964,73
43.401114181292634,69
47.26197259562761,53
18.796275490323872,0
42.18577987538647,51
41.344215021337995,75
31.52539369135411,0
41.16625194633623,33
43.00212299967881,31
18.812800046528594,0
41.60632620915037,40
34.14874310150509,44
27.716512922452512,44
19.801820352497046,0
27.980422166330783,9
52.705374086890956,19
37.93876412863608,10
41.713628341932086,76
41.7519383841741,61
27.861478823636084,0
36.82545786991623,0
38.41585705592402,18
37.82496819721131,21
26.62105746954031,0
33.694853421103915,25
20.760533780862644,0
17.9926093197737,44
31.818941597255485,38
39.899529981526435,0
41.84445884691895,68
46.3440787903734,62
21.14324662651328,0
35.64043160247167,31
36.87287007654633,0
41.973081798320635,50
40.9418475072933,3
30.824537498887867,0
32.02477688920156,0
40.70453855986821,0
54.9149091616795,0
37.70833741458519,53
36.52799077798596,74
20.661202141655565,0
18.121587029059903,37
42.433981380386065,41
25.576917723939808,53
32.34408469524871,45
30.761163811677434,67
46.91044658800564,79
43.20782937940677,52
30.913967948425007,0
46.85034517770323,88
27.113676408466198,0
41.20952213595345,0
50.94271755525432,81
38.03353416605424,53
45.79552015639289,5
42.10016798493632,42
44.86429937218185,0
23.61612866700795,0
34.70004361393458,0
21.086814339273147,0
21.51696801966989,0
18.06854703826052,0
41.044455762195184,70
42.41352377345971,0
54.914375154310875,76
35.04252842281693,39
37.24666982871125,0
39.428812527856905,59
45.04898521710306,0
44.16151648498498,44
40.56149718255468,39
36.57753037925497,0
26.166611796047974,0
39.913506633022166,5
43.581641154279524,68
37.10191359399367,56
29.409130767970815,1
28.352375830354124,18
36.94458510868996,37
41.210685954789774,57
51.33265054226607,8
32.867477037840054,15
